X,Y,apn,OBJECTID,licenseNumber,licenseType,licenseStatus,liquorType,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lat,long,xWebMercator,yWebMercator,lastUpdateDate
-93.2233262661229,44.8984797637469,1902823230100,27,LIC369207,BLWine,Pending,On Sale,2020/04/14 15:53:51+00,2021,2021/04/01 23:59:59+00,TACOS LUPITA,5748 34TH AVE S," Wine, On Sale, Class C1 Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, Limited Entertainment",11,Wenonah,44.89848,-93.22333,-10377573.21,5605553.3369,2021/01/19 18:15:17+00
-93.2551828096152,44.9881208990825,2302924120019,28,LIC75787,BLLiquor,Pending,On Sale,2019/09/18 22:32:57+00,2020,2020/04/01 00:00:00+00,Masu Sushi & Robata,328 HENNEPIN AVE E," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",3,Nicollet Island - East Bank,44.98812,-93.25518,-10381119.4642,5619651.5587,2020/07/22 18:15:16+00
-93.3046074733537,44.9485799348383,3302924330019,29,LIC367600,BLWine,Pending,On Sale,2020/04/06 08:57:29+00,2021,2021/04/01 23:59:00+00,BRIM AND BRIM RESTAURANT,2919 KNOX AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",7,East Isles,44.94858,-93.30461,-10386621.3926,5613430.0785,2021/01/19 18:15:17+00
-93.2986717392312,44.9468610268842,0402824210187,30,LIC375993,BLWine,Pending,On Sale,2020/04/14 15:53:54+00,2021,2021/04/01 23:59:59+00,The Tasting Room,1434 31ST ST W," Wine, On Sale, Add Strong Beer; Wine, On Sale, Limited Entertainment",10,ECCO,44.94686,-93.29867,-10385960.6297,5613159.7182,2021/01/19 18:15:17+00
-93.2246516171368,44.9956360757907,1802923320026,31,LIC373533,BLWine,Pending,On Sale,2020/03/23 08:59:37+00,2021,2021/04/01 23:59:59+00,Bad Axe Throwing USA,2505 KENNEDY ST NE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",1,Mid - City Industrial,44.99564,-93.22465,-10377720.7474,5620834.5018,2021/01/19 18:15:17+00
-93.2263929078903,44.9316787227067,0702823220003,32,LIC107272,BLWine,Pending,On Sale,2020/04/21 10:05:56+00,2021,2021/04/01 23:59:59+00,MESOB ETHIOPIAN RESTAURANT AND CARRY OUT,3915 HIAWATHA AVE," Wine, On Sale, Add Strong Beer; Wine, On Sale, Class E Entertainment; Wine, On Sale, No Entertainment",12,Howe,44.93168,-93.22639,-10377914.587,5610772.1045,2021/01/19 18:15:17+00
-93.3287374364074,44.921115041881,0802824330143,33,LIC331095,BLWine,Pending,On Sale,2020/03/23 08:59:47+00,2021,2021/04/01 23:59:00+00,JIMMIE'S OLD SOUTHERN BBQ SMOKEHOUSE,4501 FRANCE AVE S," Wine, On Sale, Add Strong Beer; Wine, On Sale, Class E Entertainment; Wine, On Sale, No Entertainment",13,Linden Hills,44.92112,-93.32874,-10389307.5278,5609111.2014,2021/01/19 18:15:17+00
-93.2910929136905,44.9248587180288,0902824410213,34,LIC350682,BLWine,Pending,On Sale,2020/03/23 08:59:18+00,2021,2021/04/01 23:59:59+00,TENANT RESTAURANT,4300 BRYANT AVE S," Wine, On Sale, Add Strong Beer; Wine, On Sale, Class E Entertainment; Wine, On Sale, No Entertainment",13,East Harriet,44.92486,-93.29109,-10385116.9587,5609699.776,2021/01/19 18:15:17+00
-93.253664742125,44.9751894818321,2602924120052,35,LIC352339,BLWine,Pending,On Sale,2020/04/06 08:57:10+00,2021,2021/04/01 23:59:00+00,Northern Coffeeworks,1027 WASHINGTON AVE S," Wine, On Sale, Add Strong Beer; Wine, On Sale, Class C2 Entertainment; Wine, On Sale, Limited Entertainment",3,Downtown East,44.97519,-93.25366,-10380950.4737,5617616.4232,2021/01/19 18:15:17+00
-93.2391629339645,44.9343395157639,0102824340067,36,LIC353534,BLWine,Pending,On Sale,2020/04/14 15:54:37+00,2021,2021/04/01 23:59:00+00,Sister's Sludge Coffee Cafe and Wine Bar,3746 23RD AVE S," Wine, On Sale, Class C2 Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, Limited Entertainment",12,Standish,44.93434,-93.23916,-10379336.1398,5611190.503,2021/01/19 18:15:17+00
